FamilyID	HomSap<1>	MusMus<2>	FelCat<3>	EquCab<4>	RouAeg<5>	PteAle<6>	HipArm<7>	RhiFer<8>	DesRot<9>	PhyDis<10>	ArtJam<11>	MolMol<12>	MinNat<13>	MyoMyo<14>	MyoDav<15>	PipKuh<16>	NycAvi<17>	IaIo<18>	EptFus<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>
N0.HOG0000004	0.790676	0.456184	5.36284e-16	0.496766	0.0141054	0.0141054	0.00521481	0.158777	1.71821e-23	0.0393708	5.30096e-08	6.94271e-05	0.000479053	4.79071e-09	1.69984e-09	0.000780936	1.00186e-31	4.75868e-10	2.5919e-09	N/A	0.547642	8.32485e-11	0.613317	0.0559535	0.635813	0.233869	0.749203	0.134548	3.20804e-07	0.740469	0.66929	0.644742	1.00619e-06	0.517322	2.93023e-09	0.287818	0.000108296
N0.HOG0000040	0.054637	0.0178459	0.765933	0.413696	0.689401	0.0145898	0.114441	0.114441	0.00126454	0.227447	0.227447	3.86077e-07	0.000443998	0.122521	0.26002	0.0848083	3.18316e-13	1.1492e-09	6.44157e-12	N/A	0.547642	0.599738	0.535592	6.43856e-06	0.581542	0.464023	0.00202394	0.0744829	0.398145	9.91382e-05	0.0650891	0.601825	0.00439409	1.26397e-17	0.21922	0.287727	0.635863
N0.HOG0000042	7.48127e-22	0.861857	0.826615	0.0887885	0.580311	0.120549	0.64854	0.64854	0.273603	0.764459	0.214412	0.000606251	0.024196	2.55073e-05	1.11281e-10	0.0954658	0.00306324	0.00207023	0.58934	N/A	0.0419758	0.649615	0.557206	0.628326	0.000893834	0.274802	0.131227	0.593794	1.80817e-05	0.638162	0.573891	0.0921278	0.614362	0.615234	0.556246	0.584123	0.557509
N0.HOG0000060	0.054637	0.237147	0.0394337	0.203657	0.61308	0.61308	0.301743	0.697166	0.0929493	0.619233	0.619233	0.707616	0.690055	0.577149	0.116602	0.563262	2.45846e-11	6.73837e-06	0.135223	N/A	0.547642	0.599738	0.535592	0.584079	0.537715	0.680079	0.586951	0.559866	0.631624	0.549186	0.5465	0.53805	0.0504068	0.615234	0.556246	0.584123	0.557509
N0.HOG0000065	0.73863	0.361928	9.07754e-07	6.82941e-19	0.826699	0.321768	0.281556	0.172975	0.33137	0.776674	0.443712	0.188897	0.867449	1.67948e-07	0.360599	0.00194402	5.47281e-21	3.80572e-18	5.72747e-15	N/A	0.532563	7.49753e-13	0.613317	0.00604273	0.643719	0.020082	0.758902	0.703592	0.526767	0.0109092	0.66929	0.644742	0.764084	0.0135069	0.659787	0.33921	0.662623
N0.HOG0000066	8.22432e-11	0.00567494	0.323358	1.79138e-05	0.689401	0.0145898	0.0190236	0.39873	0.635176	4.43799e-06	0.421705	7.1887e-05	0.194675	0.0138782	2.86072e-13	1.14185e-08	1.84133e-16	7.01928e-05	1.3848e-05	N/A	4.30473e-10	0.00309343	0.604791	0.709629	0.610227	0.00349058	0.051177	0.105118	6.18651e-08	2.10915e-06	0.218077	0.611077	0.16037	0.176096	0.633326	0.685202	0.635863
N0.HOG0000089	0.361928	0.361928	0.570672	0.00238694	0.000255207	0.641828	0.787024	0.113685	0.00655643	2.3764e-08	0.776674	0.512079	0.814411	0.693702	0.00023535	0.00915895	0.10107	0.705123	0.145318	N/A	0.532563	4.83798e-06	0.56743	0.647591	0.571218	0.043847	0.65193	0.0640435	0.174721	0.000518862	0.598745	0.0462999	0.000217117	0.190083	0.642528	0.696157	0.645178
N0.HOG0000095	0.16315	0.361928	0.712814	0.712814	0.120549	0.580311	0.301743	0.0386921	0.204329	0.0525831	0.717652	0.774337	0.756596	0.593532	0.00240078	0.00154046	0.57714	0.607754	0.607754	N/A	0.532563	0.570252	0.524168	0.0311961	0.537715	0.274802	0.586951	0.00264692	0.0369634	0.603875	0.573891	0.561	0.636439	0.637426	0.568781	0.601687	0.570289
N0.HOG0000096	0.361928	0.16315	0.0394337	0.00181121	0.0654531	0.00340984	0.697166	0.697166	0.651476	0.0696379	0.619233	0.707616	0.642394	0.0214243	0.541069	0.533273	0.533273	0.0721351	0.548079	N/A	0.532563	0.0378415	0.535592	0.584079	0.537715	0.680079	0.586951	0.559866	0.631624	0.549186	0.5465	0.057208	0.563003	0.563537	0.529407	0.545059	0.530099
N0.HOG0000097	0.00249775	0.00526951	0.270126	4.93804e-08	0.689401	0.000994028	0.524415	0.0843836	0.0476644	0.750719	0.195922	0.177047	0.814411	0.0947342	0.230284	0.0173208	0.21016	0.682056	0.000167465	N/A	0.575615	0.00123385	0.586788	0.681314	0.591474	0.138367	0.686145	0.63728	0.751668	0.0690207	0.610303	0.592208	0.130621	0.707407	0.0675584	0.673507	0.626126
N0.HOG0000111	0.73863	0.16315	0.712814	0.712814	0.641828	0.216241	0.243477	0.243477	0.28527	0.0922914	0.227447	0.000985929	0.163129	0.559688	0.0898804	0.548655	0.0258095	0.569491	0.569491	N/A	0.532563	0.570252	0.524168	0.0023756	0.549323	0.716727	0.010274	0.577372	0.663278	0.563935	0.56053	0.549753	0.173657	0.5907	0.543132	0.565282	0.544123
N0.HOG0000138	0.00317254	0.456184	0.765933	0.011659	0.0104679	0.171088	0.130804	0.301743	0.230203	0.000541577	0.180514	0.140446	0.124474	0.0898804	0.00263032	0.000481918	0.548655	0.569491	0.569491	N/A	0.547642	0.599738	0.535592	0.584079	0.537715	0.680079	0.586951	0.559866	0.631624	0.549186	0.5465	0.53805	0.589976	0.5907	0.543132	0.565282	0.544123
N0.HOG0000159	0.054637	0.237147	0.765933	0.000348859	0.61308	0.00340984	0.130804	0.301743	0.0132664	0.776674	5.17239e-06	0.657722	0.21415	0.541069	0.0616125	0.533273	0.533273	0.0721351	0.548079	N/A	0.547642	0.599738	0.535592	0.584079	0.537715	0.680079	0.586951	0.559866	0.0783108	2.66282e-11	0.0699539	0.525871	0.563003	0.563537	0.529407	0.545059	0.530099
N0.HOG0000161	0.0146668	0.0495465	0.00266251	0.162731	0.019568	0.709105	0.161965	0.00616559	0.101176	0.176662	0.00286311	0.0202925	0.0147045	0.636933	0.000287363	0.614786	0.0115613	0.0992614	0.655507	N/A	0.00865648	0.128821	0.586788	0.681314	0.591474	0.494753	0.686145	0.63728	0.751668	0.615884	0.610303	0.592208	0.691148	0.692332	0.603188	0.647657	0.605296
N0.HOG0000188	6.65125e-06	0.456184	0.765933	0.203657	0.542872	0.542872	0.223459	0.64854	0.165744	0.585013	0.0465734	0.237388	0.21415	0.559688	4.41783e-08	0.0258095	0.000481918	0.569491	0.0378698	N/A	0.547642	0.599738	0.535592	0.126861	0.525639	0.201306	0.560775	0.541195	0.594604	0.533646	0.531762	0.525871	0.0336623	0.5907	0.543132	0.565282	0.544123
N0.HOG0000191	0.651962	0.651962	0.139021	0.139021	0.580311	0.120549	0.584708	0.584708	0.00270838	0.00729741	0.649005	0.707616	0.290501	0.541069	0.0616125	0.57714	0.0429187	0.58934	0.050396	N/A	0.516697	0.0189177	0.524168	0.558668	0.525639	0.633903	0.0911958	0.0214934	0.0783108	0.563935	0.5465	0.53805	0.589976	0.13693	0.0227209	0.0470934	0.557509
N0.HOG0000213	0.73863	0.361928	0.826615	0.826615	0.128034	5.02052e-05	0.113685	0.787024	0.802951	0.776674	0.232134	0.0146345	0.798941	0.661709	6.05084e-10	0.602864	0.602864	0.0872731	0.640736	N/A	0.532563	0.000102546	0.557206	0.0773355	0.571218	0.769828	0.65193	0.0640435	0.00735161	0.0857668	0.598745	0.582209	0.674625	0.0023056	0.592226	0.633369	0.594155
N0.HOG0000233	0.651962	0.651962	0.139021	0.321714	0.542872	0.542872	0.64854	0.0182071	0.610341	0.585013	0.127617	0.237388	0.21415	0.541069	0.541069	0.0258095	0.548655	0.00363005	0.569491	N/A	0.516697	0.0189177	0.524168	0.558668	0.525639	0.201306	0.560775	0.541195	0.594604	0.533646	0.531762	0.525871	0.563003	0.563537	0.0151528	0.565282	0.544123
N0.HOG0000237	0.054637	0.0178459	0.80165	1.05583e-06	0.171088	0.61308	0.00244117	0.734646	0.77557	9.66644e-05	0.750719	0.382676	0.35261	0.0533388	0.00240078	1.98573e-06	7.25149e-13	0.655507	1.77201e-11	N/A	0.547642	0.0566403	0.546599	0.607223	0.549323	0.335376	0.610706	0.577372	0.000110736	0.0690207	0.56053	0.549753	0.0669871	0.637426	0.00371909	0.633369	0.0540304
N0.HOG0000240	0.361928	0.73863	0.712814	0.321714	0.120549	0.580311	0.0182071	0.64854	3.43112e-05	0.545573	0.545573	0.237388	0.0165067	0.0616125	0.0214243	0.0172144	0.533273	0.524967	0.524967	N/A	0.532563	0.570252	0.524168	0.558668	0.525639	0.633903	0.560775	0.541195	0.594604	0.0504746	0.531762	0.525871	0.563003	0.563537	0.529407	0.545059	0.0451529
N0.HOG0000243	0.361928	9.76931e-06	0.712814	0.00437897	0.542872	0.542872	0.697166	0.00333159	0.610341	6.11658e-07	0.127617	0.237388	0.642394	0.0898804	0.559688	0.548655	0.548655	0.569491	0.569491	N/A	0.532563	0.570252	0.524168	0.558668	0.525639	0.201306	0.0323918	0.541195	0.594604	0.533646	0.531762	0.525871	0.0336623	0.5907	0.543132	0.565282	0.544123
N0.HOG0000246	0.823751	0.00648998	0.113625	1.20148e-06	0.641828	0.0180109	0.584708	0.584708	0.28527	0.717652	3.59426e-05	0.237388	0.642394	0.541069	0.541069	0.533273	0.533273	0.548079	0.548079	N/A	0.56198	0.626066	0.00161344	0.16266	0.537715	0.115886	0.00180475	0.559866	0.0783108	6.93558e-05	0.0699539	0.525871	0.563003	0.563537	0.529407	0.545059	0.530099
N0.HOG0000249	0.651962	0.651962	0.630838	0.00136632	0.542872	0.542872	0.584708	0.584708	0.560554	0.00108626	0.545573	2.20283e-06	0.21415	0.0616125	0.541069	0.0172144	0.0499143	0.0721351	0.548079	N/A	0.516697	0.537172	0.512311	0.530736	0.513075	0.575211	0.531897	0.521271	0.551158	0.517268	0.00820321	0.525871	0.563003	0.563537	0.529407	0.545059	0.530099
N0.HOG0000265	0.0117473	0.113653	0.0394337	0.011659	0.542872	0.542872	0.130804	0.301743	0.165744	0.585013	0.585013	0.318354	0.727249	0.116602	0.0427577	0.0954658	0.563262	0.58934	6.73837e-06	N/A	0.00163996	0.599738	0.535592	0.584079	0.537715	0.0116509	0.586951	0.559866	0.199547	0.533646	0.5465	0.0199169	0.614362	0.615234	0.556246	0.584123	0.557509
N0.HOG0000271	0.790676	0.113289	0.765933	0.0865802	0.0104679	0.00340984	0.015143	0.697166	0.000517534	0.764459	0.764459	0.0985327	0.403702	2.5134e-07	0.141878	0.57714	0.57714	0.163796	0.607754	N/A	0.547642	0.599738	0.535592	0.584079	0.537715	0.680079	0.586951	0.00264692	1.80817e-05	0.638162	0.573891	0.561	0.636439	0.637426	0.568781	0.601687	0.570289
N0.HOG0000277	0.237147	0.00317254	0.413696	0.413696	0.171088	0.61308	0.00258357	0.243477	0.165744	0.0465734	0.585013	0.707616	0.690055	0.000110933	4.47077e-08	0.156574	1.00996e-11	0.215729	9.47898e-08	N/A	0.547642	0.599738	0.535592	0.584079	0.537715	0.680079	0.000188424	0.559866	0.199547	0.533646	0.5465	0.53805	0.000210838	0.657529	0.0452997	0.633369	0.594155
N0.HOG0000280	0.206658	1.04562e-07	0.826615	0.00700794	0.667111	0.0268829	0.208754	0.0402208	0.610341	0.585013	0.585013	0.382676	0.024196	0.593532	0.141878	0.00227293	0.590327	0.655507	0.0992614	N/A	0.575615	0.649615	0.557206	0.628326	0.560485	0.746084	0.632291	0.14228	0.0093062	0.533646	0.56053	0.549753	0.0669871	0.637426	0.0378012	0.618073	0.00554472
N0.HOG0000288	0.361928	0.73863	0.00181121	0.0394337	0.641828	0.00641799	0.0267774	1.91866e-07	0.714166	0.000144521	0.000668492	2.47325e-10	0.000146432	0.0533388	5.85658e-05	5.65932e-05	0.590327	0.669253	0.669253	N/A	0.532563	0.0378415	0.535592	0.0467247	0.549323	0.716727	0.610706	0.042895	0.690445	0.577939	0.573891	0.561	0.636439	0.637426	0.0378012	0.618073	0.000162231
N0.HOG0000298	0.73863	0.73863	0.139021	0.00437897	0.0437592	0.580311	0.584708	0.584708	0.610341	0.0465734	0.585013	0.657722	0.0352914	0.0616125	0.541069	0.548655	0.0258095	0.104722	0.569491	N/A	0.532563	0.570252	0.524168	0.558668	0.525639	0.633903	0.0911958	0.541195	0.594604	0.533646	0.531762	0.0132817	0.589976	0.13693	0.543132	0.565282	0.544123
N0.HOG0000300	0.522344	0.300251	0.826615	3.31751e-09	0.641828	0.641828	0.223459	0.223459	0.685639	0.180514	0.619233	0.000985929	0.35261	0.577149	2.55073e-05	0.00902442	0.602864	0.624851	0.0137983	N/A	0.56198	0.626066	0.0247527	0.607223	0.549323	0.716727	0.00345181	0.577372	0.663278	0.0964887	0.56053	0.549753	0.614362	0.615234	0.0023911	0.0702497	0.582495
N0.HOG0000316	0.651962	0.651962	0.0865802	0.0394337	0.0654531	0.00340984	0.015143	6.13979e-08	4.62607e-17	0.619233	0.619233	0.140446	0.290501	1.47658e-06	0.559688	0.533273	0.0499143	0.569491	0.569491	N/A	0.516697	0.00071679	0.535592	0.584079	0.537715	0.680079	0.586951	0.559866	0.631624	0.549186	0.5465	0.53805	0.589976	0.5907	0.543132	0.0983464	0.544123
N0.HOG0000317	7.59713e-14	0.456184	0.413696	0.0865802	0.580311	0.580311	0.130804	0.697166	0.00723567	0.000541577	0.619233	0.183314	0.35261	0.593532	0.593532	0.0429187	0.57714	0.163796	0.000390962	N/A	0.547642	0.599738	0.535592	0.584079	0.537715	0.274802	0.586951	0.559866	0.631624	0.549186	0.0245994	0.549753	0.0669871	0.637426	0.568781	0.601687	0.570289
N0.HOG0000334	0.361928	0.73863	0.712814	9.95762e-13	0.580311	0.580311	1.43806e-06	0.64854	0.610341	0.00523611	0.127617	0.657722	0.642394	0.577149	3.643e-09	0.548655	0.548655	0.104722	0.00363005	N/A	0.532563	0.570252	0.524168	0.558668	0.525639	0.633903	0.560775	0.541195	0.594604	0.533646	0.531762	0.525871	0.0336623	0.050863	0.543132	0.565282	0.544123
N0.HOG0000337	0.651962	0.651962	0.139021	0.321714	0.641828	0.216241	0.000450332	0.763896	0.011459	0.717652	0.156638	0.745359	0.00611167	0.116602	0.577149	0.548655	0.548655	0.0064142	0.58934	N/A	0.516697	0.0189177	0.524168	0.0023756	0.549323	0.716727	0.0644815	0.577372	0.00166911	0.603875	0.56053	0.549753	0.614362	0.615234	0.556246	0.127246	0.557509
N0.HOG0000343	0.651962	0.651962	0.413696	0.203657	0.61308	0.0654531	0.301743	0.130804	0.651476	0.0696379	0.180514	0.745359	0.727249	0.0101667	0.608912	0.590327	0.590327	0.669253	0.000114484	N/A	0.516697	0.00071679	0.535592	0.584079	0.537715	0.680079	0.586951	0.559866	0.631624	0.549186	0.0245994	0.549753	0.0110459	0.657529	0.580766	0.618073	0.000162231
N0.HOG0000344	0.054637	0.000715679	0.00181121	0.413696	0.580311	0.580311	0.301743	7.78546e-16	0.651476	0.649005	0.649005	1.07489e-07	0.0136007	0.00263032	0.000759108	0.548655	0.548655	0.569491	0.00363005	N/A	0.547642	0.599738	0.535592	0.584079	0.537715	0.274802	0.586951	0.559866	0.631624	0.0261092	0.5465	0.53805	0.589976	0.5907	0.543132	0.565282	0.544123
