FamilyID	HomSap<1>	MusMus<2>	FelCat<3>	EquCab<4>	RouAeg<5>	PteAle<6>	HipArm<7>	RhiFer<8>	DesRot<9>	PhyDis<10>	ArtJam<11>	MolMol<12>	MinNat<13>	MyoMyo<14>	MyoDav<15>	PipKuh<16>	NycAvi<17>	IaIo<18>	EptFus<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>
N0.HOG0000004	0	-1	26	1	3	3	5	2	30	-3	11	-7	-6	-8	9	-4	26	12	11	0	0	8	0	2	0	-2	0	1	9	0	0	0	7	-1	8	1	5
N0.HOG0000040	-2	3	0	-1	0	-2	2	2	4	-1	-1	10	-5	2	1	1	-8	-7	10	0	0	0	0	4	0	-1	3	1	-1	-3	1	0	3	16	-1	-1	0
N0.HOG0000042	33	0	0	2	0	-1	0	0	1	0	1	5	-2	-3	7	-1	2	-2	0	0	1	0	0	0	-2	-1	-1	0	5	0	0	-1	0	0	0	0	0
N0.HOG0000060	-2	1	-2	1	0	0	-1	0	1	0	0	0	0	0	-1	0	7	4	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
N0.HOG0000065	0	-1	-9	30	0	1	-2	2	1	0	-1	2	0	7	-1	3	-12	-12	13	0	0	9	0	3	0	4	0	0	-1	-2	0	0	0	3	0	-1	0
N0.HOG0000066	22	7	-2	10	0	-2	4	1	-1	9	1	-6	-2	-2	11	-6	12	-4	5	0	7	3	0	0	0	-4	2	1	9	6	-1	0	1	1	0	0	0
N0.HOG0000089	-1	-1	-1	5	-3	0	0	2	-3	9	0	-1	0	0	4	-2	1	0	1	0	0	4	0	0	0	-2	0	1	1	3	0	1	4	1	0	0	0
N0.HOG0000095	1	-1	0	0	-1	0	-1	2	1	2	0	0	0	0	-2	-2	0	0	0	0	0	0	0	1	0	-1	0	2	2	0	0	0	0	0	0	0	0
N0.HOG0000096	-1	1	-2	4	1	-2	0	0	0	1	0	0	0	1	0	0	0	-1	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0
N0.HOG0000097	-4	5	-2	13	0	-3	-1	2	-2	0	1	-2	0	1	-1	2	-1	0	4	0	0	3	0	0	0	-2	0	0	0	1	0	0	1	0	1	0	0
N0.HOG0000111	0	1	0	0	0	-1	1	1	-1	1	-1	4	1	0	-1	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	-1	0	0	0	0
N0.HOG0000127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000132	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000138	4	-1	0	3	2	-1	1	-1	-1	3	-1	1	1	-1	2	-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000139	0	0	-1	0	0	0	0	0	0	1	0	-1	0	0	0	-1	0	0	0	0	0	1	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0
N0.HOG0000154	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000159	-2	1	0	5	0	-2	1	-1	-2	0	7	0	-1	0	-1	0	0	-1	0	0	0	0	0	0	0	0	0	0	1	7	-1	0	0	0	0	0	0
N0.HOG0000161	5	4	6	2	-2	0	-2	4	2	1	-3	-3	-3	0	-3	0	2	1	0	0	2	1	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000167	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
N0.HOG0000188	8	-1	0	1	0	0	-1	0	-1	0	1	-1	-1	0	5	1	-2	0	1	0	0	0	0	-1	0	-1	0	0	0	0	0	0	1	0	0	0	0
