#Taxon_ID	Increase	Decrease
ArtJam<11>	155	98
<27>	49	29
<21>	10	0
<31>	24	8
HomSap<1>	942	85
<30>	48	13
PipKuh<16>	300	67
MusMus<2>	311	27
<22>	54	0
<23>	17	1
FelCat<3>	238	47
EquCab<4>	349	62
<33>	130	9
<34>	95	15
MinNat<13>	161	119
<24>	49	13
<29>	115	20
<25>	1	5
<26>	33	53
RouAeg<5>	139	35
PteAle<6>	113	58
HipArm<7>	268	64
RhiFer<8>	405	19
<28>	53	7
MyoDav<15>	298	125
DesRot<9>	258	48
PhyDis<10>	236	39
IaIo<18>	367	92
MolMol<12>	416	42
<32>	13	13
NycAvi<17>	248	83
MyoMyo<14>	535	38
<36>	84	28
<35>	67	5
<37>	64	11
EptFus<19>	278	41
