FamilyID	HomSap<1>	MusMus<2>	FelCat<3>	EquCab<4>	RouAeg<5>	PteAle<6>	HipArm<7>	RhiFer<8>	DesRot<9>	PhyDis<10>	ArtJam<11>	MolMol<12>	MinNat<13>	MyoMyo<14>	MyoDav<15>	PipKuh<16>	NycAvi<17>	IaIo<18>	EptFus<19>	<20>	<21>	<22>	<23>	<24>	<25>	<26>	<27>	<28>	<29>	<30>	<31>	<32>	<33>	<34>	<35>	<36>	<37>
N0.HOG0000004	3	2	37	12	14	14	18	15	53	20	34	7	8	12	29	26	56	46	45	3	3	11	11	13	13	11	13	14	23	23	14	14	21	20	29	30	34
N0.HOG0000040	1	6	3	2	6	4	12	12	11	3	3	19	4	30	29	11	2	4	21	3	3	3	3	7	7	6	10	8	7	4	9	9	12	28	11	10	11
N0.HOG0000042	39	6	5	7	2	1	2	2	11	10	11	10	2	1	11	3	6	2	4	5	6	5	5	5	3	2	2	5	10	10	5	4	4	4	4	4	4
N0.HOG0000060	1	4	1	4	3	3	2	3	4	3	3	3	3	4	3	4	11	8	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	4	4
N0.HOG0000065	2	1	2	41	18	19	12	16	14	11	10	16	14	24	16	16	1	2	27	2	2	11	11	14	14	18	14	14	13	11	14	14	14	17	14	13	14
N0.HOG0000066	36	21	8	20	6	4	16	13	19	35	27	4	8	10	23	5	23	7	16	7	14	10	10	10	10	6	12	11	20	26	10	10	11	12	11	11	11
N0.HOG0000089	1	1	5	11	1	4	6	8	5	20	11	6	8	13	17	10	13	12	13	2	2	6	6	6	6	4	6	7	8	11	7	8	12	13	12	12	12
N0.HOG0000095	3	1	2	2	1	2	2	5	8	9	7	5	5	5	3	3	5	5	5	2	2	2	2	3	3	2	3	5	7	7	5	5	5	5	5	5	5
N0.HOG0000096	1	3	1	7	4	1	3	3	3	4	3	3	2	3	2	2	2	1	2	2	2	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	2
N0.HOG0000097	1	10	6	21	6	3	7	10	6	9	10	6	8	10	8	12	9	10	14	5	5	8	8	8	8	6	8	8	8	9	8	8	9	9	10	10	10
