#FamilyID	Gamma Cat Mean	Likelihood of Category	Likelihood of Family	Posterior Probability	Significant
N0.HOG0000004	0.0873348	0	4.10749e-97	0	N/S
N0.HOG0000004	0.34116	6.86735e-226	4.10749e-97	1.67191e-129	N/S
N0.HOG0000004	0.70806	8.19421e-174	4.10749e-97	1.99494e-77	N/S
N0.HOG0000004	1.28827	5.02244e-135	4.10749e-97	1.22275e-38	N/S
N0.HOG0000004	2.57518	4.10749e-97	4.10749e-97	1	*
N0.HOG0000040	0.0873348	1.15535e-177	5.94308e-63	1.94403e-115	N/S
N0.HOG0000040	0.34116	3.36104e-128	5.94308e-63	5.65539e-66	N/S
N0.HOG0000040	0.70806	2.09284e-102	5.94308e-63	3.52148e-40	N/S
N0.HOG0000040	1.28827	1.0811e-82	5.94308e-63	1.81908e-20	N/S
N0.HOG0000040	2.57518	5.94308e-63	5.94308e-63	1	*
N0.HOG0000042	0.0873348	4.44547e-129	1.74208e-47	2.55182e-82	N/S
N0.HOG0000042	0.34116	5.73444e-93	1.74208e-47	3.29172e-46	N/S
N0.HOG0000042	0.70806	1.89421e-74	1.74208e-47	1.08733e-27	N/S
N0.HOG0000042	1.28827	1.02479e-60	1.74208e-47	5.88256e-14	N/S
N0.HOG0000042	2.57518	1.74208e-47	1.74208e-47	1	*
N0.HOG0000060	0.0873348	5.36403e-45	1.15412e-23	4.64772e-22	N/S
N0.HOG0000060	0.34116	3.0659e-35	1.15412e-23	2.65648e-12	N/S
N0.HOG0000060	0.70806	2.52549e-30	1.15412e-23	2.18823e-07	N/S
N0.HOG0000060	1.28827	9.74022e-27	1.15412e-23	0.000843951	N/S
N0.HOG0000060	2.57518	1.15315e-23	1.15412e-23	0.999156	*
N0.HOG0000065	0.0873348	1.95069e-220	5.93882e-79	3.28465e-142	N/S
N0.HOG0000065	0.34116	2.47822e-157	5.93882e-79	4.17292e-79	N/S
N0.HOG0000065	0.70806	1.05314e-125	5.93882e-79	1.77331e-47	N/S
N0.HOG0000065	1.28827	3.29925e-102	5.93882e-79	5.5554e-24	N/S
N0.HOG0000065	2.57518	5.93882e-79	5.93882e-79	1	*
N0.HOG0000066	0.0873348	6.19653e-237	1.50115e-78	4.12786e-159	N/S
N0.HOG0000066	0.34116	2.05153e-166	1.50115e-78	1.36664e-88	N/S
N0.HOG0000066	0.70806	1.63981e-130	1.50115e-78	1.09237e-52	N/S
N0.HOG0000066	1.28827	5.84493e-104	1.50115e-78	3.89364e-26	N/S
N0.HOG0000066	2.57518	1.50115e-78	1.50115e-78	1	*
N0.HOG0000089	0.0873348	1.84415e-88	7.48027e-33	2.46536e-56	N/S
N0.HOG0000089	0.34116	5.62101e-63	7.48027e-33	7.51445e-31	N/S
N0.HOG0000089	0.70806	3.7443e-50	7.48027e-33	5.00558e-18	N/S
N0.HOG0000089	1.28827	5.44001e-41	7.48027e-33	7.27248e-09	N/S
N0.HOG0000089	2.57518	7.48027e-33	7.48027e-33	1	*
N0.HOG0000095	0.0873348	5.5943e-35	3.33107e-19	1.67943e-16	N/S
N0.HOG0000095	0.34116	4.43829e-27	3.33107e-19	1.33239e-08	N/S
N0.HOG0000095	0.70806	2.70099e-23	3.33107e-19	8.10848e-05	N/S
N0.HOG0000095	1.28827	7.13659e-21	3.33107e-19	0.0214243	N/S
N0.HOG0000095	2.57518	3.25943e-19	3.33107e-19	0.978495	*
N0.HOG0000096	0.0873348	3.68911e-28	3.05234e-16	1.20862e-12	N/S
N0.HOG0000096	0.34116	2.48004e-22	3.05234e-16	8.12505e-07	N/S
N0.HOG0000096	0.70806	1.93411e-19	3.05234e-16	0.000633647	N/S
N0.HOG0000096	1.28827	1.9828e-17	3.05234e-16	0.0649602	N/S
N0.HOG0000096	2.57518	2.85212e-16	3.05234e-16	0.934405	N/S
N0.HOG0000097	0.0873348	1.14438e-82	2.94673e-31	3.88357e-52	N/S
N0.HOG0000097	0.34116	2.40937e-58	2.94673e-31	8.1764e-28	N/S
N0.HOG0000097	0.70806	2.33298e-46	2.94673e-31	7.91718e-16	N/S
N0.HOG0000097	1.28827	3.60532e-38	2.94673e-31	1.2235e-07	N/S
N0.HOG0000097	2.57518	2.94673e-31	2.94673e-31	1	*
N0.HOG0000111	0.0873348	1.06977e-33	7.55715e-18	1.41557e-16	N/S
N0.HOG0000111	0.34116	1.12963e-25	7.55715e-18	1.49478e-08	N/S
N0.HOG0000111	0.70806	9.38645e-22	7.55715e-18	0.000124206	N/S
N0.HOG0000111	1.28827	2.69666e-19	7.55715e-18	0.0356836	N/S
N0.HOG0000111	2.57518	7.28655e-18	7.55715e-18	0.964192	*
N0.HOG0000127	0.0873348	1.7259e-05	3.80429e-05	0.453673	N/S
N0.HOG0000127	0.34116	1.25645e-05	3.80429e-05	0.330272	N/S
N0.HOG0000127	0.70806	6.38093e-06	3.80429e-05	0.16773	N/S
N0.HOG0000127	1.28827	1.75739e-06	3.80429e-05	0.046195	N/S
N0.HOG0000127	2.57518	8.10365e-08	3.80429e-05	0.00213014	N/S
N0.HOG0000132	0.0873348	2.39308e-05	7.08158e-05	0.337931	N/S
N0.HOG0000132	0.34116	2.5808e-05	7.08158e-05	0.364438	N/S
N0.HOG0000132	0.70806	1.59629e-05	7.08158e-05	0.225415	N/S
N0.HOG0000132	1.28827	4.88268e-06	7.08158e-05	0.068949	N/S
N0.HOG0000132	2.57518	2.31367e-07	7.08158e-05	0.00326717	N/S
N0.HOG0000138	0.0873348	2.62466e-44	2.70694e-22	9.69605e-23	N/S
N0.HOG0000138	0.34116	6.38514e-34	2.70694e-22	2.35881e-12	N/S
N0.HOG0000138	0.70806	1.41371e-28	2.70694e-22	5.22255e-07	N/S
N0.HOG0000138	1.28827	5.63047e-25	2.70694e-22	0.00208001	N/S
N0.HOG0000138	2.57518	2.70131e-22	2.70694e-22	0.997919	*
N0.HOG0000139	0.0873348	1.37344e-12	2.02867e-09	0.000677014	N/S
N0.HOG0000139	0.34116	1.204e-10	2.02867e-09	0.0593493	N/S
N0.HOG0000139	0.70806	7.13629e-10	2.02867e-09	0.351772	N/S
N0.HOG0000139	1.28827	1.02231e-09	2.02867e-09	0.503932	N/S
N0.HOG0000139	2.57518	1.70954e-10	2.02867e-09	0.0842693	N/S
N0.HOG0000154	0.0873348	0.00151752	0.00335822	0.451882	N/S
N0.HOG0000154	0.34116	0.00119722	0.00335822	0.356503	N/S
N0.HOG0000154	0.70806	0.000529831	0.00335822	0.157771	N/S
N0.HOG0000154	1.28827	0.000110643	0.00335822	0.0329467	N/S
N0.HOG0000154	2.57518	3.01269e-06	0.00335822	0.000897109	N/S
N0.HOG0000159	0.0873348	2.61362e-63	4.7266e-27	5.52961e-37	N/S
N0.HOG0000159	0.34116	1.42141e-47	4.7266e-27	3.00725e-21	N/S
N0.HOG0000159	0.70806	2.73142e-39	4.7266e-27	5.77883e-13	N/S
N0.HOG0000159	1.28827	4.32212e-33	4.7266e-27	9.14425e-07	N/S
N0.HOG0000159	2.57518	4.72659e-27	4.7266e-27	0.999999	*
N0.HOG0000161	0.0873348	3.12386e-70	9.94207e-31	3.14206e-40	N/S
N0.HOG0000161	0.34116	1.19386e-50	9.94207e-31	1.20081e-20	N/S
N0.HOG0000161	0.70806	1.86869e-41	9.94207e-31	1.87958e-11	N/S
N0.HOG0000161	1.28827	1.56568e-35	9.94207e-31	1.57481e-05	N/S
N0.HOG0000161	2.57518	9.94191e-31	9.94207e-31	0.999984	*
N0.HOG0000167	0.0873348	3.31543e-05	0.000112032	0.295937	N/S
N0.HOG0000167	0.34116	4.30108e-05	0.000112032	0.383916	N/S
N0.HOG0000167	0.70806	2.73708e-05	0.000112032	0.244312	N/S
N0.HOG0000167	1.28827	8.14513e-06	0.000112032	0.0727037	N/S
N0.HOG0000167	2.57518	3.50871e-07	0.000112032	0.00313188	N/S
N0.HOG0000188	0.0873348	3.27036e-51	1.07889e-23	3.03122e-28	N/S
N0.HOG0000188	0.34116	3.97105e-39	1.07889e-23	3.68066e-16	N/S
N0.HOG0000188	0.70806	8.89543e-33	1.07889e-23	8.24495e-10	N/S
N0.HOG0000188	1.28827	4.93831e-28	1.07889e-23	4.5772e-05	N/S
N0.HOG0000188	2.57518	1.07884e-23	1.07889e-23	0.999954	*
N0.HOG0000191	0.0873348	9.85753e-36	2.91792e-18	3.37827e-18	N/S
N0.HOG0000191	0.34116	1.03944e-27	2.91792e-18	3.56226e-10	N/S
N0.HOG0000191	0.70806	1.66743e-23	2.91792e-18	5.71443e-06	N/S
N0.HOG0000191	1.28827	1.47019e-20	2.91792e-18	0.00503848	N/S
N0.HOG0000191	2.57518	2.90321e-18	2.91792e-18	0.994956	*
N0.HOG0000194	0.0873348	2.92139e-05	9.05796e-05	0.322521	N/S
N0.HOG0000194	0.34116	3.43285e-05	9.05796e-05	0.378987	N/S
N0.HOG0000194	0.70806	2.07839e-05	9.05796e-05	0.229454	N/S
N0.HOG0000194	1.28827	5.99831e-06	9.05796e-05	0.0662214	N/S
N0.HOG0000194	2.57518	2.55078e-07	9.05796e-05	0.00281607	N/S
N0.HOG0000196	0.0873348	0.00148121	0.00321207	0.461139	N/S
N0.HOG0000196	0.34116	0.00113545	0.00321207	0.353494	N/S
N0.HOG0000196	0.70806	0.000492098	0.00321207	0.153203	N/S
N0.HOG0000196	1.28827	0.000100642	0.00321207	0.0313325	N/S
N0.HOG0000196	2.57518	2.67313e-06	0.00321207	0.000832213	N/S
N0.HOG0000199	0.0873348	9.01791e-11	5.74747e-09	0.0156902	N/S
