#FamilyID	pvalue	Significant at 0.05
N0.HOG0000004	0	y
N0.HOG0000040	0	y
N0.HOG0000042	0	y
N0.HOG0000060	0	y
N0.HOG0000065	0	y
N0.HOG0000066	0	y
N0.HOG0000089	0	y
N0.HOG0000095	0	y
N0.HOG0000096	0.005	y
N0.HOG0000097	0	y
N0.HOG0000111	0.001	y
N0.HOG0000127	0.678	n
N0.HOG0000132	0.788	n
N0.HOG0000138	0	y
N0.HOG0000139	0.431	n
N0.HOG0000154	0.959	n
N0.HOG0000159	0	y
N0.HOG0000161	0	y
N0.HOG0000167	0.937	n
N0.HOG0000188	0	y
N0.HOG0000191	0	y
N0.HOG0000194	0.825	n
N0.HOG0000196	0.959	n
N0.HOG0000199	0.161	n
N0.HOG0000213	0	y
N0.HOG0000233	0.005	y
N0.HOG0000235	0.828	n
N0.HOG0000236	0.106	n
N0.HOG0000237	0	y
N0.HOG0000240	0	y
N0.HOG0000243	0	y
N0.HOG0000246	0	y
N0.HOG0000249	0	y
N0.HOG0000253	0.917	n
N0.HOG0000254	0.915	n
N0.HOG0000265	0	y
N0.HOG0000271	0	y
N0.HOG0000277	0	y
N0.HOG0000280	0	y
N0.HOG0000288	0	y
N0.HOG0000298	0.005	y
N0.HOG0000300	0	y
N0.HOG0000316	0	y
N0.HOG0000317	0	y
N0.HOG0000326	0.999	n
N0.HOG0000330	0.97	n
N0.HOG0000334	0	y
N0.HOG0000337	0	y
N0.HOG0000343	0	y
N0.HOG0000344	0	y
N0.HOG0000350	0	y
N0.HOG0000352	0	y
N0.HOG0000360	0	y
N0.HOG0000361	0	y
N0.HOG0000368	0	y
N0.HOG0000375	0.017	y
N0.HOG0000376	0	y
N0.HOG0000389	0.024	y
N0.HOG0000390	0	y
N0.HOG0000394	0.473	n
N0.HOG0000398	0	y
N0.HOG0000405	0	y
N0.HOG0000409	0	y
N0.HOG0000410	0	y
N0.HOG0000412	0.975	n
N0.HOG0000413	0.915	n
N0.HOG0000424	0.468	n
N0.HOG0000429	0.943	n
N0.HOG0000430	0.668	n
N0.HOG0000439	0.943	n
N0.HOG0000447	0	y
N0.HOG0000448	0	y
N0.HOG0000454	0.298	n
N0.HOG0000462	0.99	n
N0.HOG0000466	0	y
N0.HOG0000472	0	y
N0.HOG0000488	0.998	n
N0.HOG0000496	0.006	y
N0.HOG0000517	0.001	y
N0.HOG0000520	0.789	n
N0.HOG0000524	0	y
N0.HOG0000529	0	y
N0.HOG0000544	0	y
N0.HOG0000556	0.088	n
N0.HOG0000565	0.533	n
N0.HOG0000566	0.975	n
N0.HOG0000567	0.798	n
N0.HOG0000568	0.921	n
N0.HOG0000570	0	y
N0.HOG0000572	0.917	n
N0.HOG0000573	0.164	n
N0.HOG0000574	0.001	y
N0.HOG0000577	0.883	n
N0.HOG0000581	0.959	n
N0.HOG0000582	0.862	n
N0.HOG0000587	0	y
N0.HOG0000597	0	y
N0.HOG0000599	0	y
N0.HOG0000600	0.001	y
N0.HOG0000606	0	y
N0.HOG0000608	0.998	n
N0.HOG0000609	0.001	y
N0.HOG0000610	0.09	n
N0.HOG0000611	0	y
N0.HOG0000617	0.978	n
N0.HOG0000620	0.454	n
N0.HOG0000621	0	y
N0.HOG0000625	0.998	n
N0.HOG0000630	0	y
N0.HOG0000648	0.001	y
N0.HOG0000650	0.012	y
N0.HOG0000655	0.129	n
N0.HOG0000656	0.915	n
N0.HOG0000661	0.018	y
N0.HOG0000663	0.007	y
N0.HOG0000667	0.045	y
N0.HOG0000668	0.07	n
N0.HOG0000669	0.324	n
N0.HOG0000671	0.898	n
N0.HOG0000673	0.078	n
N0.HOG0000674	0.059	n
N0.HOG0000679	0.216	n
N0.HOG0000680	0	y
N0.HOG0000682	0	y
N0.HOG0000692	0.998	n
N0.HOG0000706	0.943	n
N0.HOG0000707	0.188	n
N0.HOG0000708	0.045	y
N0.HOG0000712	0.002	y
N0.HOG0000713	0	y
N0.HOG0000715	0	y
N0.HOG0000718	0	y
