OG	back	fore
OG0014060	0.11785	0.1466
OG0005665	0.10027	0.27876
OG0008243	0.05417	0.16755
OG0010777	0.24399	0.0982
OG0013355	0.3374	0.21245
OG0005120	0.3095	0.37153
OG0011087	0.05617	0.0001
OG0014293	0.03387	0.1497
OG0008669	0.09873	0.52672
OG0009451	0.09175	0.33239
OG0008818	0.09773	0.04798
OG0005291	0.15495	0.29002
OG0010174	0.33257	0.34106
OG0008790	0.07863	0.29679
OG0005543	0.03896	0.0001
OG0005616	0.45971	1.19652
OG0011674	0.05006	0.03762
OG0011938	0.04282	0.04536
OG0006421	0.13074	0.23383
OG0006728	0.17597	0.66469
OG0005838	0.0676	0.15008
OG0014184	0.21489	0.39942
OG0013099	0.05307	0.05962
OG0011484	0.04499	0.05614
OG0012327	0.39415	0.30887
OG0008119	0.06457	0.0703
OG0006220	0.50097	0.34169
OG0006603	0.10992	0.0001
OG0008324	0.0523	999.0
OG0008252	0.2763	0.49025
OG0008079	0.06447	0.02101
OG0008219	0.20502	0.37145
OG0005215	0.02876	0.0001
OG0012442	0.83397	0.5861
OG0005889	0.00285	0.08974
OG0011981	0.19955	0.07717
OG0014019	0.33351	0.18248
OG0009247	0.49958	1.19573
OG0011919	0.45277	0.1143
OG0005434	0.11827	0.11086
OG0009246	0.38036	0.44032
OG0007023	0.23036	0.05319
OG0011945	0.42421	0.25461
OG0005675	0.2737	0.07207
OG0013788	0.22107	0.1902
OG0009770	0.24083	0.26518
OG0007457	0.0423	0.47323
OG0013318	0.1755	0.24824
OG0014183	0.20093	999.0
OG0008042	0.01792	0.05824
OG0009633	0.28455	0.55798
OG0006874	0.15467	0.18212
OG0007222	0.22907	0.31864
OG0013240	0.23586	0.30441
OG0014399	0.04461	0.0001
OG0006498	0.63188	0.83539
OG0006888	0.08185	0.03773
OG0014182	0.00756	0.0001
OG0012653	0.43904	0.58608
OG0013371	0.14755	0.18686
OG0008103	0.225	0.36263
OG0007118	0.07798	0.04917
OG0011203	0.51951	999.0
OG0005817	0.32275	0.42137
OG0008025	0.24035	0.19566
OG0006771	0.57283	0.20549
OG0007355	0.07164	0.0001
OG0005773	0.43239	1.4707
OG0009148	0.07136	0.03894
OG0008890	0.22899	0.04485
OG0007326	0.15439	0.18066
OG0012719	0.31469	0.15366
OG0008081	0.64878	1.45509
OG0012501	0.11954	0.23309
OG0005181	0.23626	0.43097
OG0006801	0.7079	1.1907
OG0011754	0.29895	0.41252
OG0010592	0.16008	0.24932
OG0009703	0.0666	0.0001
OG0012772	0.42934	0.51049
OG0009047	0.62417	0.83302
OG0005562	0.35532	0.19427
OG0012405	0.62301	0.34929
OG0005345	0.1232	0.0001
OG0005984	0.08457	0.07388
OG0011673	0.16491	0.30254
OG0010310	0.13991	0.18951
OG0010556	0.21567	0.27771
