OG	back	fore
OG0005276	0.06032	0.18703
OG0014060	0.11785	0.1466
OG0011253	0.10761	0.04616
OG0005665	0.10027	0.27876
OG0006183	0.1239	0.1003
OG0014315	0.01055	0.0001
OG0007175	0.16454	0.25526
OG0011773	0.04453	0.68017
OG0013729	0.06409	0.03581
OG0014333	0.30734	0.25818
OG0011067	0.07093	0.10041
OG0005508	0.08175	0.06271
OG0012522	0.06859	0.03682
OG0007543	0.14695	0.0001
OG0012668	0.18463	0.07005
OG0005370	0.07723	0.0001
OG0005941	0.12032	0.21856
OG0005905	0.58247	0.418
OG0009154	0.09361	0.0001
OG0012223	0.0852	0.12499
OG0009854	0.11031	0.75528
OG0008479	0.14397	0.42067
OG0005120	0.3095	0.37153
OG0005093	0.28541	0.4012
OG0010819	0.25923	0.15776
OG0005850	0.12552	0.04679
OG0013951	0.12971	0.39676
OG0014391	0.14506	0.117
OG0008459	0.09185	0.0001
OG0008544	0.10785	0.13621
OG0007142	0.13726	0.1322
OG0010151	0.05064	0.04175
OG0011175	0.08541	0.08595
OG0005291	0.15495	0.29002
OG0006444	0.30967	0.26043
OG0010989	0.20941	0.23682
OG0013702	0.03328	0.0001
OG0013611	0.22526	0.10963
OG0005621	0.02801	0.08755
OG0012210	0.32382	0.3502
OG0012916	0.25536	0.13939
OG0010466	0.2601	0.20149
OG0006756	0.01957	0.0001
OG0005099	0.30878	0.16119
OG0007459	0.1174	0.13512
OG0005106	0.09332	0.19532
OG0009905	0.06383	0.05185
OG0011938	0.04282	0.04536
OG0007207	0.17548	0.15953
OG0005980	0.23648	0.38967
OG0008138	0.03102	0.0522
OG0008966	0.01615	0.0001
OG0006493	0.31056	0.19714
OG0006728	0.17597	0.66469
OG0006699	0.00885	0.0001
OG0006950	0.16218	0.29022
OG0011012	0.00548	0.0001
OG0007165	0.05933	0.03802
OG0011310	0.13545	0.34161
OG0008489	0.12514	0.09832
OG0005317	0.13217	0.08945
OG0013099	0.05307	0.05962
OG0010559	0.53181	0.12667
OG0011391	0.11887	0.02749
OG0010803	0.16259	0.14519
OG0012370	0.1812	0.1551
OG0005378	0.12388	0.17291
OG0012085	0.0035	0.0001
OG0012103	0.32052	0.15876
OG0013405	0.09492	0.06237
OG0013345	0.02931	0.06199
OG0008434	0.14192	0.06467
OG0013033	0.04603	0.0001
OG0009015	0.14581	0.28011
OG0009999	0.00938	0.42592
OG0013771	0.36144	0.22734
OG0005841	0.02791	0.02214
OG0010652	0.12915	1.11662
OG0013738	0.05678	0.06387
OG0013794	0.05675	0.0001
OG0010376	0.20177	0.20554
OG0008686	0.07002	0.10494
OG0006772	0.11667	0.61338
OG0007623	0.19044	0.24677
OG0005681	0.41703	0.38302
OG0013044	0.32709	0.14765
OG0007803	0.06146	0.04986
OG0014198	0.10576	0.07436
OG0012442	0.83397	0.5861
OG0010690	0.15332	0.22425
OG0012725	0.06392	0.04741
OG0012918	0.08742	0.0001
OG0005725	0.32147	1.02984
OG0006434	0.03468	0.0001
OG0009847	0.0629	0.08153
OG0014505	0.06071	0.07416
OG0012513	0.05674	0.16412
OG0006810	0.37075	0.40833
OG0005637	0.12487	0.17094
OG0008996	0.19182	0.32457
OG0008629	0.64559	0.81748
OG0009210	0.08482	0.0001
OG0010339	0.1312	0.07183
OG0011945	0.42421	0.25461
OG0005845	0.0921	0.0001
OG0011772	0.10938	0.10213
OG0013962	0.25606	0.21737
OG0011441	0.40085	0.38984
OG0009770	0.24083	0.26518
OG0005629	0.17171	0.06394
OG0009902	0.25377	0.37915
OG0005308	0.03654	0.07588
OG0011024	0.33101	0.39551
OG0013301	0.01042	0.0001
OG0006702	0.24523	0.0001
OG0011889	0.3732	0.56736
OG0009835	0.18319	0.22983
OG0013908	0.06276	0.12387
OG0014502	0.06545	0.0001
OG0008042	0.01792	0.05824
OG0007104	0.5215	0.82784
OG0012569	0.12988	0.15656
OG0007222	0.22907	0.31864
OG0006992	0.17604	0.0489
OG0010657	0.64022	0.9675
OG0013240	0.23586	0.30441
OG0013601	0.03993	0.05063
OG0014399	0.04461	0.0001
OG0006498	0.63188	0.83539
OG0005950	0.14088	0.16661
OG0010159	0.03049	0.02874
OG0009692	0.07539	0.07234
OG0012901	0.04586	0.0001
OG0008107	0.22844	0.29329
OG0010630	0.19321	0.17798
OG0011624	0.08719	0.07089
OG0005631	0.0672	0.04462
OG0006487	0.07279	0.32151
OG0008040	0.0584	0.07753
OG0013371	0.14755	0.18686
OG0013907	0.0272	0.0001
OG0013474	0.16097	0.3845
OG0008103	0.225	0.36263
OG0009805	0.16679	0.05681
OG0011241	0.19449	0.27564
OG0014491	0.16208	0.0001
OG0014444	0.15477	0.03173
OG0005817	0.32275	0.42137
OG0014044	0.08773	0.07453
OG0005825	0.50641	0.51019
OG0011515	0.2611	0.20827
OG0010231	0.16955	0.10412
OG0007856	0.0444	0.16608
OG0013502	0.03843	0.06019
OG0014304	0.2325	0.26355
OG0006159	0.02556	0.0001
OG0013833	0.09751	0.0001
OG0012782	0.11003	0.09101
OG0013528	0.17824	0.26701
OG0007507	0.20351	0.21738
OG0011445	0.07393	0.20759
OG0008581	0.21676	0.13454
OG0005951	0.18526	0.08356
OG0013084	0.27572	0.4148
OG0012908	0.10374	0.0001
OG0009513	0.10528	0.31754
OG0012699	0.11234	0.23534
OG0006801	0.7079	1.1907
OG0014106	0.01422	0.0001
OG0013261	0.04719	0.03436
OG0014126	0.11564	0.11684
OG0009703	0.0666	0.0001
OG0009646	0.23093	0.22517
OG0007131	0.02125	0.0001
OG0009047	0.62417	0.83302
OG0006857	0.3633	0.50289
OG0008653	0.16869	0.96107
OG0006446	0.20086	0.23434
OG0007977	0.01812	0.0001
OG0007652	0.06544	0.0001
OG0008447	0.031	0.03731
OG0006128	0.0198	0.01376
OG0012222	0.13937	0.19846
OG0013851	0.26596	0.1275
OG0010321	0.15163	0.06526
OG0005984	0.08457	0.07388
OG0006036	0.0507	0.07983
OG0013360	0.06055	0.27224
OG0005613	0.23902	0.25008
OG0006889	0.12111	0.0001
OG0011272	0.12227	0.01429
OG0010591	0.32186	999.0
OG0013058	0.14039	0.04307
OG0012666	0.05062	0.04618
OG0006833	0.13734	0.07412
OG0010310	0.13991	0.18951
OG0013086	0.49805	0.98948
OG0005362	0.03937	0.03103
OG0005472	0.05107	0.0001
OG0007444	0.12705	0.0001
OG0014343	0.02967	0.0001
OG0008545	0.41165	0.4987
OG0009000	0.19674	0.30569
OG0013936	0.44204	0.27079
OG0006800	0.03131	0.0001
OG0009807	0.23542	0.33993
OG0009542	0.10801	0.06406
OG0010426	0.0252	0.0001
OG0012904	0.34182	0.1689
OG0008444	0.40555	0.08807
OG0008538	0.03575	0.06611
OG0009320	0.1686	0.15042
OG0007620	0.03462	0.09719
OG0012140	0.13325	0.15949
OG0011394	0.10369	0.09868
OG0011994	0.00978	0.0001
OG0013159	0.12706	0.0001
OG0014016	0.05551	0.0001
OG0008740	0.13651	0.08812
OG0010956	0.1066	0.27329
OG0010914	0.02891	0.02011
OG0007395	0.0548	0.0001
OG0008820	0.13859	0.12383
OG0008387	0.17736	0.31181
OG0005301	0.01516	0.0001
OG0010718	0.12234	0.07281
OG0006660	0.30147	0.40996
OG0011870	0.05174	0.0001
OG0010390	0.11514	0.25136
OG0011720	0.05103	0.0001
OG0007348	0.0966	0.12732
OG0012747	0.1545	0.16575
OG0013542	0.18889	0.22491
OG0008527	0.18079	0.11154
OG0008404	0.04326	0.0001
OG0013382	0.12675	0.11699
OG0008470	0.03836	0.0001
OG0012334	0.00131	0.0001
OG0011202	0.11198	0.0734
OG0009814	0.26947	0.76366
OG0007968	0.10624	0.39761
OG0012297	0.19839	0.31557
OG0010915	0.00785	0.0001
OG0013973	0.05874	0.0001
OG0006805	0.03087	0.0001
OG0005457	0.03702	0.0001
OG0012722	0.03848	0.0001
OG0005639	0.28663	1.44691
OG0005757	0.08002	0.01687
OG0006287	0.15569	0.02114
