HOG,HomSap,FamilyID,NycAvi<17>_pvalue,NycAvi<17>_change
N0.HOG0000004,OR7A5,N0.HOG0000004,1.00186e-31,26
N0.HOG0000042,LILRA4,N0.HOG0000042,0.00306324,2
N0.HOG0000060,H2BC21,N0.HOG0000060,2.45846e-11,7
N0.HOG0000066,HLA-A,N0.HOG0000066,1.84133e-16,12
N0.HOG0000111,H3-3A,N0.HOG0000111,0.0258095,1
N0.HOG0000161,H4C14,N0.HOG0000161,0.0115613,2
N0.HOG0000191,OR5B2,N0.HOG0000191,0.0429187,1
N0.HOG0000237,OR7E24,N0.HOG0000237,7.25149e-13,9
N0.HOG0000277,MRGPRX2,N0.HOG0000277,1.00996e-11,8
N0.HOG0000298,OR3A2,N0.HOG0000298,0.0258095,1
N0.HOG0000350,KLRC1,N0.HOG0000350,0.0258095,1
N0.HOG0000361,OR7D4,N0.HOG0000361,0.0429187,1
N0.HOG0000375,SLC25A5,N0.HOG0000375,0.000730966,2
N0.HOG0000376,FTL,N0.HOG0000376,0.0429187,1
N0.HOG0000389,OR2S2,N0.HOG0000389,0.034381,1
N0.HOG0000390,RPLP1,N0.HOG0000390,6.06428e-06,4
N0.HOG0000398,RPL29,N0.HOG0000398,0.00475011,2
N0.HOG0000409,OR51V1,N0.HOG0000409,6.70417e-05,3
N0.HOG0000410,ADAM20,N0.HOG0000410,0.00902442,2
N0.HOG0000472,OR10D3,N0.HOG0000472,0.0172144,1
N0.HOG0000517,CLEC10A,N0.HOG0000517,6.70417e-05,3
N0.HOG0000544,JDP2,N0.HOG0000544,0.0067459,2
N0.HOG0000570,RPL9,N0.HOG0000570,0.034381,1
N0.HOG0000606,RPL6,N0.HOG0000606,0.00306324,2
N0.HOG0000630,PGA3,N0.HOG0000630,0.00475011,2
N0.HOG0000682,RPS2,N0.HOG0000682,1.49991e-08,5
N0.HOG0000713,FAM47E,N0.HOG0000713,0.0258095,1
N0.HOG0000783,DYNLL1,N0.HOG0000783,0.000148208,2
N0.HOG0000791,RPSA,N0.HOG0000791,0.0429187,1
N0.HOG0000793,PHGDH,N0.HOG0000793,0.0429187,1
N0.HOG0000852,CEL,N0.HOG0000852,1.50359e-06,4
N0.HOG0000954,ORM1,N0.HOG0000954,0.034381,1
N0.HOG0000977,RPL7,N0.HOG0000977,0.00171346,2
N0.HOG0001064,PRG3,N0.HOG0001064,0.0172144,1
N0.HOG0001152,OR5M11,N0.HOG0001152,0.0172144,1
N0.HOG0001179,RPS8,N0.HOG0001179,0.0172144,1
N0.HOG0001311,NPM1,N0.HOG0001311,0.0172144,1
N0.HOG0001487,SMS,N0.HOG0001487,0.0258095,1
N0.HOG0001676,ASAP1,N0.HOG0001676,0.000218945,3
N0.HOG0001704,RPLP0,N0.HOG0001704,0.0172144,1
N0.HOG0001709,SLC34A2,N0.HOG0001709,0.00475011,2
N0.HOG0001731,RPL23,N0.HOG0001731,0.0172144,1
N0.HOG0001791,KRT8,N0.HOG0001791,0.00860709,1
N0.HOG0001798,HSPD1,N0.HOG0001798,0.000148208,2
N0.HOG0001811,UBA1,N0.HOG0001811,0.0172144,1
N0.HOG0001816,SAT1,N0.HOG0001816,0.0172144,1
N0.HOG0001925,RPL13A,N0.HOG0001925,0.00860709,1
N0.HOG0001945,PEBP1,N0.HOG0001945,2.55203e-06,3
N0.HOG0002076,RPL22L1,N0.HOG0002076,0.000148208,2
N0.HOG0002112,SARNP,N0.HOG0002112,0.000148208,2
N0.HOG0002204,RPL36,N0.HOG0002204,0.00860709,1
N0.HOG0002357,CNN2,N0.HOG0002357,2.55203e-06,3
