OG,Symbol,Model,pvalue,fdr
OG0005048,FAM124B,Ma:Man,0.00488,0.33765129770992364
OG0005055,OBSL1,Ma:Man,0.02374,1.0
OG0005099,BARD1,Ma:Man,0.0284,1.0
OG0005135,EGFR,Ma:Man,0.0009724,0.09580253913043478
OG0005154,BBS9,Ma:Man,0.002237,0.1931063619047619
OG0005166,NOD1,Ma:Man,0.0001909,0.024718822857142858
OG0005244,ADORA2A,Ma:Man,0.0003552,0.04181211428571428
OG0005285,MEIS2,Ma:Man,2.307e-06,0.0011005604210526316
OG0005295,CCDC9B,Ma:Man,0.02924,1.0
OG0005350,MITF,Ma:Man,0.03011,1.0
OG0005393,PLXNA3,Ma:Man,3.445e-05,0.006643719148936169
OG0005403,AVPR2,Ma:Man,0.03606,1.0
OG0005431,VASP,Ma:Man,4.441e-16,4.0253224e-12
OG0005491,TMEM139,Ma:Man,0.006736,0.42399377777777775
OG0005501,CIART,Ma:Man,0.04095,1.0
OG0005545,FOXP4,Ma:Man,0.009413,0.5597760522875818
OG0005549,APOBEC2,Ma:Man,0.005081,0.34872547368421053
OG0005585,ERMN,Ma:Man,5.015e-08,4.5455960000000004e-05
OG0005598,NMI,Ma:Man,0.0001143,0.0161877375
OG0005617,UBE4A,Ma:Man,0.01496,0.7838002312138728
OG0005630,MFRP,Ma:Man,0.02704,1.0
OG0005660,PLXDC1,Ma:Man,1.984e-06,0.0010578221176470587
OG0005707,CACNA1G,Ma:Man,0.0004535,0.05138155
OG0005721,C17orf67,Ma:Man,0.001293,0.12467821276595745
OG0005733,TSPOAP1,Ma:Man,0.01092,0.6147756521739131
OG0005759,MRC2,Ma:Man,0.02934,1.0
OG0005792,AXIN2,Ma:Man,5.244e-05,0.009140695384615385
OG0005799,KCNJ16,Ma:Man,1.054e-07,7.961213333333334e-05
OG0005807,CDC42EP4,Ma:Man,7.048e-05,0.01120755649122807
OG0005817,ATAD5,Ma:Man,0.01727,0.8647947540983606
OG0005955,KIF19,Ma:Man,0.0003842,0.04464306835443038
OG0005993,FOXJ1,Ma:Man,4.126e-08,4.155340444444444e-05
OG0005999,UBE2O,Ma:Man,0.009783,0.5720845935483871
OG0006001,ST6GALNAC1,Ma:Man,6.876e-05,0.011129297142857143
OG0006063,MOV10L1,Ma:Man,0.01054,0.6008462893081762
OG0006073,FBLN1,Ma:Man,1.703e-05,0.004287775555555556
OG0006103,ZC3H7B,Ma:Man,0.0008806,0.08970338666666666
OG0006180,WASHC4,Ma:Man,0.01124,0.6250267484662577
OG0006199,SLC17A8,Ma:Man,0.02231,1.0
OG0006224,NOP2,Ma:Man,1.612e-09,2.087309714285714e-06
OG0006370,FAIM2,Ma:Man,1.904e-05,0.004425091282051282
OG0006396,KRT1,Ma:Man,1.626e-05,0.004252310857142857
OG0006445,APOF,Ma:Man,2.428e-05,0.0054538751219512195
OG0006449,BAZ2A,Ma:Man,0.002185,0.19043115384615386
OG0006464,DDIT3,Ma:Man,0.003431,0.262856
OG0006548,GPC4,Ma:Man,0.004268,0.309481216
OG0006570,ATP7A,Ma:Man,0.004099,0.30228071544715446
OG0006642,PIPOX,Ma:Man,0.0443,1.0
OG0006781,CCDC80,Ma:Man,9.495e-05,0.01388107741935484
OG0006789,GRAMD1C,Ma:Man,0.006213,0.3993945531914893
OG0006846,KIFC3,Ma:Man,0.01023,0.5906033121019109
OG0006847,KATNB1,Ma:Man,1.84e-05,0.004388884210526315
OG0006852,CCDC102A,Ma:Man,0.007347,0.4561178630136986
OG0006878,TENT4B,Ma:Man,0.004845,0.33765129770992364
OG0006884,STEAP2,Ma:Man,0.002972,0.23839122123893805
OG0006893,INO80B,Ma:Man,2.786e-10,5.0504608e-07
OG0006942,VPS54,Ma:Man,4.409e-06,0.0015985270399999998
OG0006954,ADAT2,Ma:Man,0.002183,0.19043115384615386
OG0006970,SASH1,Ma:Man,4.395e-06,0.0015985270399999998
OG0007030,IL6,Ma:Man,0.0001861,0.024446527536231884
OG0007035,IGF2BP3,Ma:Man,0.02506,1.0
OG0007048,HOXA3,Ma:Man,2.937e-05,0.00609554
OG0007091,FAM163A,Ma:Man,0.02104,1.0
OG0007124,ADGRE5,Ma:Man,0.008885,0.5333353642384107
OG0007132,DAND5,Ma:Man,0.002951,0.23839122123893805
OG0007173,KIF20B,Ma:Man,0.000574,0.06423130864197531
OG0007199,EGR2,Ma:Man,4.74e-05,0.008598359215686274
OG0007261,CCSER2,Ma:Man,0.03099,1.0
OG0007330,ASXL3,Ma:Man,0.0007997,0.08454814883720929
OG0007363,ME2,Ma:Man,2.242e-06,0.0011005604210526316
OG0007467,TBC1D8,Ma:Man,0.01243,0.6787079518072289
OG0007478,MRPS9,Ma:Man,0.04573,1.0
