OG	back	fore
OG0011067	0.07154	0.16145
OG0007175	0.16509	0.09598
OG0006183	0.12377	0.0001
OG0006479	0.02502	0.0758
OG0010880	0.23991	0.0001
OG0008982	0.00176	0.0001
OG0012668	0.18383	0.23544
OG0006029	0.02724	0.0001
OG0010852	0.16376	0.45079
OG0013647	0.18677	0.48749
OG0008479	0.14445	0.22941
OG0012223	0.0852	0.0001
OG0008401	0.09614	0.03366
OG0005625	0.12872	0.38059
OG0012066	0.20115	0.21179
OG0008818	0.09731	0.07772
OG0010151	0.05037	0.0001
OG0014146	0.19899	0.12834
OG0010603	0.2689	0.06462
OG0010513	0.08362	0.10621
OG0006444	0.30949	0.24556
OG0007472	0.41132	0.2158
OG0007459	0.11698	0.0001
OG0005543	0.03904	0.03303
OG0006923	0.09707	0.03057
OG0009017	0.10858	0.0001
OG0009601	0.03877	0.09106
OG0011938	0.04272	0.11338
OG0006728	0.17832	0.10449
OG0006493	0.31015	0.50566
OG0008138	0.03122	0.11033
OG0006950	0.16245	0.17609
OG0007767	0.22734	0.07577
OG0011012	0.00547	0.0001
OG0006816	0.34834	0.28859
OG0005317	0.13231	0.123
OG0014184	0.21483	999.0
OG0010559	0.53056	0.14576
OG0008553	0.03538	0.0001
OG0005717	0.28112	0.28069
OG0009999	0.00938	0.0001
OG0011484	0.04498	0.03764
OG0005907	0.33546	0.20172
OG0012103	0.32088	0.15361
OG0006584	0.14305	0.1451
OG0008693	0.27167	0.60267
OG0007619	0.25888	0.32897
OG0013033	0.0457	0.07026
OG0008451	0.23733	0.52389
OG0010411	0.58256	0.84522
OG0013958	0.20837	0.04006
OG0007053	0.16131	0.23623
OG0014198	0.1059	0.09103
OG0005681	0.4187	0.27266
OG0012442	0.84215	0.36456
OG0007803	0.06111	0.0001
OG0013117	0.31452	0.41169
OG0010686	0.09091	0.12721
OG0011981	0.20043	0.11527
OG0005725	0.32072	0.19653
OG0005041	0.65779	0.34852
OG0009247	0.49817	0.96294
OG0009246	0.37772	999.0
OG0008996	0.19094	0.20873
OG0011919	0.45213	0.83599
OG0013792	0.02242	0.0001
OG0010339	0.13125	0.0001
OG0008629	0.64544	0.39329
OG0013531	0.00342	0.0001
OG0010022	0.41091	999.0
OG0013101	0.0778	0.04302
OG0007023	0.23076	0.08386
OG0011945	0.425	0.69126
OG0013512	0.02258	0.03379
OG0014227	0.10841	0.16491
OG0006166	0.29853	0.0001
OG0006475	0.18095	0.0001
OG0009770	0.23977	0.15299
OG0013962	0.25603	0.20737
OG0007302	0.04807	0.06551
OG0009902	0.2542	0.15986
OG0013908	0.0633	0.0001
OG0005750	0.01274	0.0001
OG0014183	0.20277	0.20464
OG0012252	0.19651	0.39534
OG0006874	0.1557	0.07406
OG0008042	0.01794	0.0001
OG0013610	0.16413	0.21028
OG0013240	0.23665	0.13051
OG0010657	0.63925	0.72595
OG0006498	0.62582	89.09203
OG0010159	0.03055	0.06799
OG0009393	0.11315	0.12752
OG0010735	0.07219	0.0001
OG0010848	0.47478	0.25011
OG0011101	0.64369	0.44629
OG0012847	0.38771	0.41101
OG0005891	0.11928	0.1289
OG0012653	0.44112	1.48234
OG0010630	0.19337	0.15078
OG0008103	0.2276	0.17419
OG0008107	0.22925	0.15074
OG0010596	0.24107	0.17775
OG0006487	0.073	0.26673
OG0013474	0.16335	0.0001
OG0013371	0.14817	0.19851
OG0013169	0.22371	0.27489
OG0008081	0.64603	999.0
OG0012135	0.39046	0.7345
OG0006873	0.06424	0.10133
OG0011076	0.07842	0.05518
OG0010280	0.15093	0.0001
OG0010236	0.28297	0.09298
OG0005927	0.24621	0.16331
OG0008423	0.04017	0.02961
OG0008890	0.22919	0.51511
OG0013883	0.09245	0.30035
OG0013721	0.21978	0.18085
OG0008785	0.10623	0.09796
OG0013762	0.27122	0.135
OG0007326	0.15505	0.32264
OG0009148	0.07201	0.07457
OG0005658	0.07359	0.16502
OG0012782	0.10983	0.0001
OG0010980	0.04291	0.07827
OG0011445	0.07413	0.11024
OG0005807	0.08833	0.29411
OG0012908	0.10368	0.0001
OG0012699	0.11131	0.07534
OG0010567	0.36709	0.02895
OG0012772	0.42901	0.12413
OG0009703	0.0674	0.0001
OG0010836	0.05525	0.0001
OG0013395	0.18656	0.26177
OG0009047	0.62689	0.51
OG0006854	0.5038	2.27905
OG0006857	0.36475	0.32417
OG0007652	0.06547	0.0001
OG0005221	0.07211	0.15671
