OG	back	fore
OG0006183	0.1239	0.1003
OG0007175	0.16454	0.25526
OG0006479	0.02501	0.0001
OG0011067	0.07093	0.10041
OG0012668	0.18463	0.07005
OG0008982	0.00176	0.0001
OG0006029	0.02679	0.03178
OG0010880	0.23807	0.04657
OG0010852	0.16291	0.16967
OG0012223	0.0852	0.12499
OG0013647	0.18681	0.25888
OG0008479	0.14397	0.42067
OG0008401	0.09629	0.05231
OG0005625	0.12844	0.24071
OG0012066	0.20192	0.13096
OG0014146	0.19907	0.06695
OG0008818	0.09773	0.04798
OG0010151	0.05064	0.04175
OG0010603	0.26952	999.0
OG0010513	0.08343	0.07527
OG0007472	0.40959	0.75167
OG0006444	0.30967	0.26043
OG0005543	0.03896	0.0001
OG0006923	0.09636	0.12301
OG0007459	0.1174	0.13512
OG0009017	0.1085	0.0001
OG0009601	0.0396	0.0001
OG0011938	0.04282	0.04536
OG0008138	0.03102	0.0522
OG0006493	0.31056	0.19714
OG0006728	0.17597	0.66469
OG0007767	0.22752	0.37298
OG0006950	0.16218	0.29022
OG0011012	0.00548	0.0001
OG0014184	0.21489	0.39942
OG0006816	0.349	0.18215
OG0008553	0.03533	0.08961
OG0005317	0.13217	0.08945
OG0010559	0.53181	0.12667
OG0005717	0.28211	0.24991
OG0011484	0.04499	0.05614
OG0012103	0.32052	0.15876
OG0006584	0.14243	0.19206
OG0007619	0.25821	0.82206
OG0005907	0.33834	0.82942
OG0013033	0.04603	0.0001
OG0009999	0.00938	0.42592
OG0008451	0.23725	0.31976
OG0008693	0.27166	0.08872
OG0010411	0.58253	0.19615
OG0007053	0.16145	0.32104
OG0013958	0.20797	0.44803
OG0005681	0.41703	0.38302
OG0007803	0.06146	0.04986
OG0014198	0.10576	0.07436
OG0013117	0.31465	0.40524
OG0012442	0.83397	0.5861
OG0011981	0.19955	0.07717
OG0005725	0.32147	1.02984
OG0010686	0.09079	0.0753
OG0009247	0.49958	1.19573
OG0005041	0.65754	0.74926
OG0008996	0.19182	0.32457
OG0011919	0.45277	0.1143
OG0008629	0.64559	0.81748
OG0013792	0.02282	0.04001
OG0009246	0.38036	0.44032
OG0013531	0.00341	0.0001
OG0007023	0.23036	0.05319
OG0010339	0.1312	0.07183
OG0010022	0.41207	1.01974
OG0013512	0.02254	0.09147
OG0013101	0.07757	0.01639
OG0011945	0.42421	0.25461
OG0014227	0.10807	0.13419
OG0006475	0.1811	0.0001
OG0006166	0.29909	0.57066
OG0013962	0.25606	0.21737
OG0007302	0.04822	0.08144
OG0009770	0.24083	0.26518
OG0009902	0.25377	0.37915
OG0005750	0.01292	0.07207
OG0012252	0.19527	0.1338
OG0013908	0.06276	0.12387
OG0014183	0.20093	999.0
OG0008042	0.01792	0.05824
OG0013610	0.1639	0.16707
OG0006874	0.15467	0.18212
OG0010657	0.64022	0.9675
OG0013240	0.23586	0.30441
OG0010848	0.47529	0.19486
OG0009393	0.11359	0.20898
OG0006498	0.63188	0.83539
OG0010159	0.03049	0.02874
OG0010735	0.07214	0.06876
OG0012847	0.38749	0.69879
OG0011101	0.64441	999.0
OG0012653	0.43904	0.58608
OG0005891	0.11867	0.04213
OG0008107	0.22844	0.29329
OG0010630	0.19321	0.17798
OG0006487	0.07279	0.32151
OG0013371	0.14755	0.18686
OG0010596	0.23851	0.14703
OG0013474	0.16097	0.3845
OG0013169	0.22401	0.43988
OG0008103	0.225	0.36263
OG0012135	0.39401	0.49161
OG0006873	0.06439	0.18102
OG0011076	0.07872	0.1095
OG0010280	0.15117	0.12828
OG0010236	0.28141	0.37013
OG0005927	0.244	0.17295
OG0008423	0.04017	0.03991
OG0008785	0.10654	0.09244
OG0013721	0.21852	0.27296
OG0013883	0.09154	0.05791
OG0009148	0.07136	0.03894
OG0013762	0.27088	0.24191
OG0008890	0.22899	0.04485
OG0005658	0.07367	0.06686
OG0012782	0.11003	0.09101
OG0007326	0.15439	0.18066
OG0010980	0.0428	0.03693
OG0011445	0.07393	0.20759
OG0008081	0.64878	1.45509
OG0012908	0.10374	0.0001
OG0005807	0.08747	0.03999
OG0012699	0.11234	0.23534
OG0010567	0.36643	0.12858
OG0009703	0.0666	0.0001
OG0010836	0.0554	0.0001
OG0012772	0.42934	0.51049
OG0013395	0.18506	0.19751
OG0009047	0.62417	0.83302
OG0006857	0.3633	0.50289
OG0006854	0.50331	0.87274
OG0007652	0.06544	0.0001
OG0013851	0.26596	0.1275
OG0005221	0.07158	0.06739
OG0005984	0.08457	0.07388
OG0013360	0.06055	0.27224
OG0013709	0.00905	0.0001
OG0010591	0.32186	999.0
OG0012666	0.05062	0.04618
OG0011673	0.16491	0.30254
OG0006773	0.686	0.33113
OG0013086	0.49805	0.98948
OG0006069	0.04422	0.04924
OG0011813	0.05072	0.03763
OG0012034	0.03099	0.0001
OG0007444	0.12705	0.0001
OG0014479	0.03864	0.0001
OG0014513	0.5931	0.18594
OG0006624	0.06211	0.03386
OG0006636	0.02347	0.0001
OG0009807	0.23542	0.33993
OG0009542	0.10801	0.06406
OG0010426	0.0252	0.0001
OG0013668	0.07772	0.0001
OG0011152	0.15332	0.05295
OG0007849	0.2095	0.10293
OG0005632	0.07928	0.01072
OG0005644	0.06771	0.10008
OG0011394	0.10369	0.09868
OG0007527	0.18704	0.5856
OG0014401	0.27296	0.16013
OG0013191	0.2772	0.95773
OG0011440	0.05923	0.02724
OG0009524	0.32235	0.29572
OG0013959	0.5511	0.35947
OG0010302	0.22194	0.23901
OG0010914	0.02891	0.02011
OG0011027	0.47695	1.89552
OG0005547	0.28142	0.30134
OG0008820	0.13859	0.12383
OG0013332	0.11032	0.14915
OG0012011	0.42161	0.91039
OG0005084	0.09812	0.09985
OG0010433	0.02882	0.02563
OG0010025	0.10503	0.0693
OG0014203	0.35331	0.32162
OG0010197	0.81392	0.70554
OG0011090	1.04386	1.21598
OG0008620	0.27968	0.47049
OG0012028	0.3371	0.20558
OG0009061	0.39164	0.88952
OG0011281	0.03511	0.0001
OG0007403	0.46222	0.70898
OG0005481	0.26815	0.18871
OG0012297	0.19839	0.31557
OG0011920	0.32212	0.14564
OG0005457	0.03702	0.0001
OG0007314	0.05931	0.2353
OG0007584	0.1511	0.0001
OG0009641	0.28521	0.24901
OG0014494	0.03305	0.04609
OG0007379	0.1157	0.16247
OG0006407	0.08126	0.10954
OG0013541	0.0728	0.05963
OG0006396	0.20832	0.08762
OG0006238	0.01588	0.0001
OG0013243	0.08081	0.09264
OG0007622	0.01734	0.0001
OG0006940	0.0001	0.0001
OG0011427	0.12943	0.32154
OG0011311	0.01332	0.0001
OG0006986	0.09222	0.20743
OG0012119	0.80852	0.46374
OG0013864	0.03728	0.03277
OG0009310	0.08336	0.14911
OG0012765	0.32455	0.28765
OG0010122	0.18376	0.47917
OG0012465	0.55941	0.53972
OG0011029	0.15827	0.15117
OG0013329	0.2668	0.31355
OG0011774	0.81919	0.57793
OG0005438	0.01795	0.00888
OG0010156	0.39316	1.27821
OG0007675	0.04681	0.0001
OG0006619	0.13864	0.10219
OG0007056	0.06763	0.12866
OG0007253	0.02117	0.01298
OG0010532	0.0581	0.14184
OG0013354	0.03597	0.01121
OG0005227	0.06119	0.15454
OG0010249	0.71671	0.28078
OG0006714	0.0555	0.07314
OG0007434	0.14127	0.21634
OG0014506	0.23735	0.16922
OG0007102	0.45858	0.36932
OG0014251	0.22404	0.1944
OG0013078	0.17858	0.15363
OG0012998	0.35954	0.70826
OG0012905	0.17784	0.53154
OG0012886	0.02157	0.17559
OG0012844	0.16211	0.0001
OG0008018	0.05351	0.18535
OG0010895	0.12252	0.04469
OG0011430	0.04432	0.0001
OG0014124	0.03421	0.18888
OG0005391	0.07763	0.0001
OG0009143	0.33808	0.43666
OG0011088	0.05023	0.07856
OG0009594	0.29438	0.42448
OG0010105	0.19199	0.13475
OG0009480	0.10468	0.02099
OG0014313	0.05493	0.0001
OG0009087	0.07965	0.08828
OG0011847	0.08344	0.0961
OG0009666	0.26706	0.10061
OG0008456	0.02313	0.04479
OG0006615	0.05907	0.03301
OG0012803	0.14003	0.0001
OG0011105	0.0815	0.10838
OG0013763	0.09738	0.12195
OG0006682	0.17571	0.20749
OG0008240	0.24449	0.52366
OG0012361	0.11874	0.5966
OG0012102	0.4336	0.43773
OG0009544	0.05551	0.03886
OG0014091	0.00668	0.01211
OG0006456	0.09873	0.04992
OG0010568	0.37131	0.39333
OG0008224	0.06673	0.1033
OG0012528	0.09454	0.14482
OG0013759	0.07241	0.16926
OG0012221	0.01713	0.02035
OG0005445	0.22041	0.56124
OG0010108	0.09663	0.07582
OG0014093	0.04721	0.05156
OG0009757	0.18885	0.24928
OG0005214	0.25492	0.20552
OG0006855	0.41221	0.3518
OG0011104	0.1094	0.0001
OG0008099	0.15219	0.37178
OG0013635	0.38952	0.46222
OG0012402	0.09065	0.07917
OG0006523	0.28058	0.45623
OG0010502	0.05037	0.0001
OG0008391	0.11198	0.04978
OG0008606	0.02062	0.0001
OG0011986	0.06807	0.04874
OG0010331	0.40263	0.24239
OG0011501	0.14618	0.13606
OG0008441	0.03198	0.0001
OG0011899	0.10364	0.19622
OG0006174	0.01081	0.0001
OG0011856	0.15138	0.58351
OG0007489	0.21503	0.17886
OG0006764	0.19559	0.10783
OG0009900	0.34404	0.28245
OG0010278	0.05924	0.48844
OG0005574	0.09376	0.12554
OG0009192	0.36576	0.04709
OG0007346	0.19561	0.22261
OG0009335	0.09656	0.05486
OG0005443	0.04894	0.08094
OG0010295	0.382	0.22337
OG0010267	0.0771	999.0
OG0009240	0.09834	0.36495
OG0008241	0.18686	0.20787
OG0005399	0.21844	0.33743
OG0011366	0.0853	0.13432
OG0008070	0.30822	0.4191
OG0006007	0.03191	0.02885
OG0007724	0.2411	0.22083
OG0006659	0.02224	0.05915
OG0008303	0.14568	0.10335
OG0005166	0.14746	0.17377
OG0005884	0.17776	0.07804
OG0011786	0.08369	0.22532
OG0013730	0.16218	999.0
OG0008494	0.12822	0.15421
OG0012508	0.28376	0.32555
OG0006405	0.00925	0.0001
OG0013614	0.28111	0.19857
OG0012544	0.24936	0.26772
OG0006179	0.08995	0.17581
OG0010461	0.65851	0.76626
OG0010941	0.22005	0.32815
OG0014169	0.46776	0.42829
OG0006085	0.07626	0.09464
OG0008875	0.19991	0.0001
OG0010193	0.04	0.0001
OG0013134	0.37719	0.0001
OG0005231	0.72588	0.73252
OG0012995	0.20971	0.22157
OG0006684	0.49722	0.23082
OG0012895	0.02121	0.0001
OG0005603	0.18442	0.35174
OG0012535	0.02841	0.04213
OG0006237	0.04313	0.03918
OG0013189	0.40197	0.4216
OG0012435	0.70341	1.53595
OG0008682	0.38416	0.17962
OG0014201	0.21037	0.08894
OG0014259	0.02452	0.05309
OG0009832	0.15857	0.25728
OG0009297	0.06244	0.0001
OG0010993	0.3706	0.2582
OG0006531	0.10823	0.0001
OG0013525	0.08217	0.07778
OG0010636	0.10249	0.26677
OG0014118	0.02192	0.02467
OG0014135	0.09886	0.2395
OG0008248	0.17512	0.1247
OG0010187	0.02455	0.08281
OG0011586	0.19834	0.20517
OG0014396	0.09548	0.0547
OG0013378	0.04472	0.0001
OG0006738	0.10061	0.07115
OG0012848	0.04422	0.0001
OG0007891	0.01732	0.0001
OG0009439	0.2506	0.31635
OG0008970	0.00391	0.01607
OG0008892	0.05917	0.09161
OG0013950	0.00741	0.0001
OG0009540	0.02921	0.04577
OG0013615	0.16023	0.22869
OG0006100	0.0276	0.73289
OG0009340	0.01279	0.0001
OG0014332	0.03446	0.49266
OG0007717	0.38943	0.43846
OG0007303	0.03735	0.0001
OG0006685	0.01089	0.0001
OG0006198	0.09062	0.15965
OG0013312	0.01319	0.03725
OG0009617	0.07373	0.0001
OG0007927	0.24797	0.26625
OG0014307	0.29526	0.66596
OG0005598	0.53651	1.27585
OG0009048	0.69739	0.24446
OG0013164	0.15989	0.03107
OG0008365	0.48375	0.67969
OG0012710	0.36007	0.05834
OG0011059	0.18512	0.10368
OG0007653	0.10388	0.15511
OG0010762	0.43133	0.06894
OG0007269	0.01685	0.0001
OG0007987	0.25211	0.58828
OG0007824	0.40976	0.69553
OG0013774	0.06623	0.06496
OG0005517	0.06645	0.25144
OG0009177	0.21623	0.06561
OG0007564	0.0913	0.0001
OG0012161	0.60687	0.3047
OG0007475	0.41148	0.41194
OG0009804	0.32242	0.47943
OG0006252	0.40439	0.99839
