HOG,HomSap,FamilyID,IaIo<18>_pvalue,IaIo<18>_change
N0.HOG0000040,LOC124904792,N0.HOG0000040,1.1492e-09,-7
N0.HOG0000042,LILRA4,N0.HOG0000042,0.00207023,-2
N0.HOG0000065,ZNF14,N0.HOG0000065,3.80572e-18,-12
N0.HOG0000066,HLA-A,N0.HOG0000066,7.01928e-05,-4
N0.HOG0000410,ADAM20,N0.HOG0000410,0.0067141,-2
N0.HOG0000466,RPL35A,N0.HOG0000466,0.00107164,-2
N0.HOG0000524,RPL36A,N0.HOG0000524,0.00107164,-2
N0.HOG0000630,PGA3,N0.HOG0000630,0.00207023,-2
N0.HOG0000901,RPS26,N0.HOG0000901,0.00107164,-2
N0.HOG0001375,RPS28,N0.HOG0001375,0.00107164,-2
