OG,Symbol,Model,pvalue,back,fore,fdr
OG0005055,OBSL1,two:one,0.001013,0.10324,0.32418,0.1252373287671233
OG0005071,CDK5R2,two:one,0.04657,0.03298,0.27947,0.5501233638743456
OG0005135,EGFR,two:one,0.002284,0.06749,0.17428,0.17726025641025642
OG0005147,EEPD1,two:one,0.02799,0.06324,0.19261,0.4496554770318021
OG0005151,DPY19L1,two:one,0.04802,0.056,0.19955,0.5502632408575031
OG0005195,RAD52,two:one,0.009022,0.33737,999.0,0.3041559701492538
OG0005242,BCR,two:one,0.0009766,0.03272,0.14158,0.12453246527777778
OG0005285,MEIS2,two:one,0.000546,0.02113,1.17825,0.0849594827586207
OG0005290,GPR176,two:one,0.007392,0.09469,0.26708,0.28236445147679323
OG0005304,ZFYVE19,two:one,0.02309,0.32638,2.48288,0.4144681908548708
OG0005347,SERINC4,two:one,0.005372,0.32433,1.79014,0.2565201058201058
OG0005350,MITF,two:one,0.004672,0.06596,0.41686,0.2397778409090909
OG0005356,TAFA1,two:one,0.045,0.03009,999.0,0.5424626666666666
OG0005359,GPR39,two:one,0.006417,0.12705,0.78114,0.26942522935779817
OG0005366,MAP3K19,two:one,0.006378,0.49251,1.14668,0.26942522935779817
OG0005369,MCM6,two:one,0.04628,0.04562,0.23222,0.550016382699869
OG0005393,PLXNA3,two:one,0.003209,0.02618,0.09136,0.21612854477611942
OG0005431,VASP,two:one,1.721e-07,0.1396,0.46216,0.00012301769230769233
OG0005436,PPP1R13L,two:one,0.02181,0.08884,0.28719,0.4020729591836735
OG0005459,ANKS1A,two:one,0.04936,0.09828,0.22754,0.5544713763702801
OG0005464,TULP1,two:one,0.03977,0.15985,0.45053,0.5168627873563219
OG0005504,MCL1,two:one,0.006206,0.21525,0.52594,0.26798636363636363
OG0005524,RFX5,two:one,0.02788,0.29168,0.73643,0.4496554770318021
OG0005542,FRS3,two:one,0.006981,0.07975,0.30522,0.27754856828193836
OG0005581,ZIC5,two:one,0.02081,0.1042,0.50317,0.39622415611814343
OG0005595,CACNB4,two:one,0.03984,0.01201,0.38376,0.5168627873563219
OG0005620,PHLDB1,two:one,0.03015,0.08946,0.18189,0.46590598290598295
OG0005625,NLRX1,two:one,0.01443,0.12872,0.38059,0.3537141927083333
OG0005628,MCAM,two:one,0.025,0.205,0.53101,0.4318247619047619
OG0005656,NEUROD2,two:one,0.01939,0.01533,0.27311,0.3890777777777778
OG0005687,ZNF652,two:one,0.02032,0.07684,0.35642,0.3915964818763326
OG0005689,NXPH3,two:one,0.03019,0.03511,0.21113,0.46590598290598295
OG0005701,LRRC59,two:one,0.006854,0.07698,999.0,0.27370508849557523
OG0005753,DHX40,two:one,0.01598,0.0416,0.25225,0.3623571428571429
OG0005768,LIMD2,two:one,0.008481,0.05004,999.0,0.3041559701492538
OG0005807,CDC42EP4,two:one,0.04216,0.08833,0.29411,0.5277309292649099
OG0005817,ATAD5,two:one,0.009946,0.32283,0.98841,0.3116758680555556
OG0005830,PARP4,two:one,0.0191,0.41833,0.93085,0.3877707865168539
OG0005834,TPR,two:one,0.0,0.05171,0.05277,0.0
OG0005843,VASH2,two:one,0.01081,0.03163,0.32431,0.31778583061889254
OG0005854,RD3,two:one,0.01014,0.08135,999.0,0.315409793814433
OG0005883,DNAJC7,two:one,0.0234,0.04407,0.70353,0.41660679133858264
OG0005917,NAGS,two:one,0.04134,0.08813,0.28441,0.5242612359550562
OG0005919,G6PC3,two:one,0.03568,0.17931,1.45066,0.4979791344667697
OG0005926,RUNDC3A,two:one,0.0194,0.02166,0.11287,0.3890777777777778
OG0005970,ARMC7,two:one,0.004777,0.09799,999.0,0.24245814606741573
OG0006014,SOCS3,two:one,0.02345,0.03199,0.27246,0.41660679133858264
OG0006023,NPTX1,two:one,0.04583,0.03464,0.15707,0.5463880449141347
OG0006042,LRRC45,two:one,0.005987,0.09568,0.30437,0.26359975845410627
OG0006073,FBLN1,two:one,0.007335,0.08009,0.36186,0.28236445147679323
OG0006103,ZC3H7B,two:one,0.002702,0.03329,0.12277,0.1930655769230769
OG0006110,ADSL,two:one,0.04558,0.07961,1.16773,0.5455696286472149
OG0006180,WASHC4,two:one,0.002781,0.03724,0.27787,0.1930655769230769
OG0006226,LPAR5,two:one,0.008869,0.13635,999.0,0.3041559701492538
OG0006328,PRICKLE1,two:one,0.01106,0.04324,0.16276,0.32298472668810285
OG0006339,AMIGO2,two:one,0.009586,0.15525,0.57799,0.3099863475177305
OG0006359,DDN,two:one,0.01654,0.32927,0.7861,0.3699356435643564
OG0006370,FAIM2,two:one,0.001168,0.09246,0.5702,0.13343291139240507
OG0006373,ASIC1,two:one,9.992e-16,0.06269,0.31926,1.803556e-12
OG0006373,ASIC1,two:one,9.992e-16,0.06269,0.31926,1.803556e-12
OG0006380,CSRNP2,two:one,0.04925,0.08452,0.36471,0.5544713763702801
OG0006381,POU6F1,two:one,0.006816,0.13123,1.15501,0.27370508849557523
OG0006388,TAMALIN,two:one,0.0006763,0.06394,0.63191,0.1000591393442623
OG0006429,DNAJC14,two:one,0.01178,0.27652,0.93674,0.33119781931464176
OG0006438,ESYT1,two:one,0.01251,0.1356,0.42287,0.3416607142857143
OG0006441,ANKRD52,two:one,0.03049,0.02764,0.11676,0.46798001700680275
OG0006446,TIMELESS,two:one,0.004433,0.20129,0.62351,0.23956781437125751
