OG	back	fore
OG0005276	0.06044	0.01166
OG0011067	0.07154	0.16145
OG0005508	0.08172	0.0001
OG0007175	0.16509	0.09598
OG0006183	0.12377	0.0001
OG0005665	0.1007	0.03889
OG0011253	0.10783	0.03276
OG0014060	0.11857	0.04695
OG0013729	0.06453	0.19425
OG0014333	0.30805	0.40013
OG0014315	0.01057	0.06856
OG0005905	0.58119	0.75737
OG0005370	0.07708	0.08361
OG0011773	0.04468	0.0001
OG0007543	0.14802	55.44872
OG0005941	0.12037	0.11294
OG0009154	0.09405	0.07753
OG0012668	0.18383	0.23544
OG0012522	0.06892	0.14239
OG0005120	0.30923	0.0001
OG0009854	0.11131	0.26558
OG0008479	0.14445	0.22941
OG0005093	0.28557	0.26403
OG0012223	0.0852	0.0001
OG0011175	0.08572	0.0001
OG0005850	0.12544	0.19823
OG0010819	0.26014	0.40256
OG0014391	0.14537	0.22509
OG0013951	0.12942	0.16368
OG0008459	0.09197	0.0001
OG0007142	0.13804	0.0773
OG0008544	0.10742	0.11709
OG0010151	0.05037	0.0001
OG0006444	0.30949	0.24556
OG0005291	0.15482	0.2175
OG0007459	0.11698	0.0001
OG0013702	0.03335	0.05766
OG0012210	0.32175	1.61976
OG0010989	0.20911	0.22981
OG0013611	0.22592	0.39467
OG0005621	0.02767	0.20877
OG0005099	0.30544	0.58118
OG0006756	0.0196	0.0001
OG0012916	0.25632	0.10306
OG0010466	0.26033	0.26411
OG0005106	0.09365	0.07755
OG0007207	0.17504	0.07363
OG0011938	0.04272	0.11338
OG0008966	0.01629	0.0001
OG0009905	0.06403	0.05454
OG0006728	0.17832	0.10449
OG0005980	0.23622	0.16222
OG0006493	0.31015	0.50566
OG0008138	0.03122	0.11033
OG0006950	0.16245	0.17609
OG0013099	0.05296	0.01456
OG0011012	0.00547	0.0001
OG0011310	0.13515	0.0001
OG0006699	0.00891	0.0235
OG0008489	0.12553	0.0001
OG0005317	0.13231	0.123
OG0010559	0.53056	0.14576
OG0011391	0.12017	0.51408
OG0010803	0.16333	0.26537
OG0005378	0.12349	0.886
OG0012370	0.18117	0.18651
OG0009999	0.00938	0.0001
OG0012085	0.00351	0.0001
OG0012103	0.32088	0.15361
OG0008434	0.1423	0.07965
OG0009015	0.14735	0.1459
OG0013405	0.09464	0.03262
OG0010652	0.12979	0.0001
OG0013033	0.0457	0.07026
OG0013771	0.36012	0.30944
OG0005841	0.02786	0.0001
OG0013738	0.05696	0.0001
OG0014198	0.1059	0.09103
OG0006772	0.11787	0.0001
OG0013794	0.05589	0.08486
OG0013044	0.32723	0.29223
OG0008686	0.06986	0.21177
OG0010376	0.20224	0.16392
OG0005681	0.4187	0.27266
OG0007623	0.19034	0.28592
OG0012442	0.84215	0.36456
OG0007803	0.06111	0.0001
OG0012918	0.08699	0.25714
OG0005725	0.32072	0.19653
OG0012725	0.06372	0.0001
OG0006434	0.03458	0.0001
OG0010690	0.15319	0.29454
OG0014505	0.06066	0.19046
OG0012513	0.05703	0.07541
OG0009847	0.06309	0.06734
OG0005637	0.12486	0.07541
OG0008996	0.19094	0.20873
OG0010339	0.13125	0.0001
OG0006810	0.36975	0.4387
OG0008629	0.64544	0.39329
OG0009210	0.08502	0.15998
OG0005845	0.09242	0.0001
OG0011945	0.425	0.69126
OG0011772	0.10938	0.1203
OG0005629	0.17282	0.2297
OG0009770	0.23977	0.15299
OG0013962	0.25603	0.20737
OG0009902	0.2542	0.15986
OG0011441	0.40224	0.38531
OG0006702	0.24445	0.0001
OG0013301	0.01044	0.06203
OG0009835	0.18377	0.0795
OG0011024	0.32981	0.46119
OG0013908	0.0633	0.0001
OG0011889	0.37293	0.20785
OG0014502	0.06543	0.0001
OG0008042	0.01794	0.0001
OG0007104	0.52087	0.1699
OG0012569	0.13104	0.03295
OG0006992	0.17641	0.03492
OG0007222	0.23061	0.04796
